"","unigram","bigram","frequency"
"1239","telling","me",1578
"1240","heart","and",1577
"1241","ever","seen",1576
"1242","decided","that",1576
"1243","year","of",1574
"1244","away","with",1574
"1245","head","to",1570
"1246","focused","on",1570
"1247","lived","in",1569
"1248","jesus","christ",1568
"1249","moved","to",1568
"1250","talked","about",1566
"1251","add","a",1562
"1252","appreciate","it",1559
"1253","getting","to",1559
"1254","many","years",1556
"1255","right","i",1555
"1256","point","in",1555
"1257","problem","with",1554
"1258","yet","i",1554
"1259","perfect","for",1553
"1260","regardless","of",1553
"1261","reading","the",1547
"1262","spring","break",1547
"1263","men","and",1546
"1264","nothing","like",1542
"1265","view","of",1542
"1266","happens","to",1541
"1267","any","more",1540
"1268","always","have",1540
"1269","itll","be",1540
"1270","read","a",1539
"1271","during","a",1533
"1272","response","to",1532
"1273","going","back",1528
"1274","waiting","to",1528
"1275","wearing","a",1525
"1276","sorry","to",1524
"1277","guy","who",1521
"1278","seeing","the",1520
"1279","game","is",1519
"1280","god","bless",1519
"1281","hunger","games",1519
"1282","used","a",1519
"1283","heres","the",1513
"1284","enjoy","your",1511
"1285","brand","new",1511
"1286","move","to",1511
"1287","whats","going",1509
"1288","related","to",1508
"1289","wonder","what",1501
"1290","another","day",1500
"1291","spent","the",1498
"1292","add","to",1498
"1293","reason","for",1497
"1294","listened","to",1494
"1295","start","the",1493
"1296","their","lives",1490
"1297","books","and",1489
"1298","once","a",1487
"1299","start","with",1487
"1300","growing","up",1487
"1301","bought","a",1483
"1302","fear","of",1483
